entity_id,year_recorded,indicator_score,group_tag,metric_inflation,trade,metric_industry_share
UK,1989,15716,GermanyCase,7.7972708,51.64563,36.629669
UK,1990,16397,GermanyCase,9.4755878,51.467461,35.17424
UK,1991,16681,GermanyCase,5.853981,48.209381,33.12701
UK,1992,17069,GermanyCase,3.7326009,49.349758,31.889669
UK,1993,17845,GermanyCase,1.564474,52.593632,31.270929
UK,1994,18975,GermanyCase,2.47645,54.257759,31.693331
UK,1995,19860,GermanyCase,3.410996,57.896839,31.996481
UK,1996,20923,GermanyCase,2.4487059,59.849579,31.86726
UK,1997,22280,GermanyCase,3.132333,57.84053,31.074129
UK,1998,23206,GermanyCase,3.41817,55.989063,29.46092
UK,1999,23959,GermanyCase,1.555385,55.989063,28.59877
UK,2000,25583,GermanyCase,2.9270999,55.989063,28.47661
UK,2001,27026,GermanyCase,1.820852,55.989063,27.475519
UK,2002,28969,GermanyCase,1.6344579,55.989063,26.990379
UK,2003,29609,GermanyCase,2.9136319,55.989063,26.59016
Austria,1960,1796,GermanyCase,3.5422561,48.126095,41.21851
Austria,1961,1899,GermanyCase,3.5422561,46.525959,41.21851
Austria,1962,1977,GermanyCase,4.3817849,47.171013,41.21851
Austria,1963,2074,GermanyCase,2.70877,47.977253,41.21851
Austria,1964,2224,GermanyCase,3.868571,48.415096,41.21851
Austria,1965,2336,GermanyCase,4.9309111,49.6133,41.21851
Austria,1966,2537,GermanyCase,2.2058821,50.31641,41.21851
Austria,1967,2668,GermanyCase,3.9749999,49.683853,41.21851
Austria,1968,2908,GermanyCase,2.773103,50.410915,41.21851
Austria,1969,3239,GermanyCase,3.0804019,54.232513,41.21851
Austria,1970,3732,GermanyCase,4.3728251,59.711964,41.21851
Austria,1971,4100,GermanyCase,4.7042618,59.185368,41.21851
Austria,1972,4513,GermanyCase,6.3620629,59.090919,41.525631
Austria,1973,4969,GermanyCase,7.5240822,59.262428,42.23682
Austria,1974,5622,GermanyCase,9.5217915,64.811729,42.260269
Austria,1975,6147,GermanyCase,8.4452553,61.598152,40.128139
Austria,1976,6810,GermanyCase,7.3186889,65.170868,39.3979
Austria,1977,7588,GermanyCase,5.4749999,65.209686,39.05883
Austria,1978,8117,GermanyCase,3.579047,64.740669,39.235649
Austria,1979,9288,GermanyCase,3.707094,69.698715,38.1772
Austria,1980,10312,GermanyCase,6.3253899,73.995857,38.09647
Austria,1981,11242,GermanyCase,6.8068619,76.079674,37.830849
Austria,1982,12148,GermanyCase,5.440414,71.684555,36.904591
Austria,1983,13048,GermanyCase,3.335381,70.534111,36.410431
Austria,1984,13533,GermanyCase,5.6648641,75.512695,35.23595
Austria,1985,14296,GermanyCase,3.1896939,79.065735,35.582439
Austria,1986,14921,GermanyCase,1.7009211,70.925285,35.291531
Austria,1987,15549,GermanyCase,1.4,69.633995,34.791962
Austria,1988,16595,GermanyCase,1.931295,74.935471,34.583389
Austria,1989,17768,GermanyCase,2.5638959,78.906845,34.11145
Austria,1990,19070,GermanyCase,3.2623219,79.029663,34.110531
Austria,1991,20172,GermanyCase,3.334348,78.769096,33.98061
Austria,1992,20960,GermanyCase,4.0297632,76.002907,33.033249
Austria,1993,21220,GermanyCase,3.6258061,73.35833,32.18623
Austria,1994,22139,GermanyCase,2.959065,75.149643,32.138279
Austria,1995,22976,GermanyCase,2.2500999,77.784943,32.44965
Austria,1996,24008,GermanyCase,1.843557,80.743919,32.29562
Austria,1997,24472,GermanyCase,1.325,85.257927,32.726978
Austria,1998,25314,GermanyCase,0.90467972,85.257927,32.84259
Austria,1999,26558,GermanyCase,0.56239301,85.257927,32.900028
Austria,2000,28359,GermanyCase,2.350462,85.257927,32.774849
Austria,2001,28855,GermanyCase,2.6599619,85.257927,32.168598
Austria,2002,29942,GermanyCase,1.810212,85.257927,31.984779
Austria,2003,30796,GermanyCase,1.3634191,85.257927,31.737129
Belgium,1960,1782,GermanyCase,0.98314607,77.341782,42.50227
Belgium,1961,1883,GermanyCase,0.98314607,80.016273,42.50227
Belgium,1962,2018,GermanyCase,1.404729,82.437759,42.50227
Belgium,1963,2122,GermanyCase,2.1533401,85.66539,42.50227
Belgium,1964,2288,GermanyCase,4.1756182,86.620453,42.50227
Belgium,1965,2414,GermanyCase,4.0598021,85.261909,42.50227
Belgium,1966,2559,GermanyCase,4.173892,89.370125,42.50227
Belgium,1967,2719,GermanyCase,2.912852,86.239647,42.50227
Belgium,1968,2958,GermanyCase,2.7033269,90.623016,42.50227
Belgium,1969,3308,GermanyCase,3.7457819,97.949638,42.50227
Belgium,1970,3797,GermanyCase,3.9141281,100.42813,42.50227
Belgium,1971,4129,GermanyCase,4.3405681,97.975098,42.50227
Belgium,1972,4512,GermanyCase,5.4475002,97.54892,41.944149
Belgium,1973,5039,GermanyCase,6.9552779,107.77507,42.515091
Belgium,1974,5707,GermanyCase,12.67789,120.51753,43.293011
Belgium,1975,6146,GermanyCase,12.7682,104.77955,40.01701
Belgium,1976,6854,GermanyCase,9.1587,110.8381,40.133949
Belgium,1977,7326,GermanyCase,7.1108479,109.5376,39.495281
Belgium,1978,8056,GermanyCase,4.4705949,105.68562,38.45702
Belgium,1979,8921,GermanyCase,4.4690838,116.28985,38.20924
Belgium,1980,10156,GermanyCase,6.6509752,117.16876,36.84375
Belgium,1981,11079,GermanyCase,7.628274,126.35263,34.465172
Belgium,1982,11827,GermanyCase,8.7258511,134.42366,34.4062
Belgium,1983,12334,GermanyCase,7.6633701,137.18913,34.140591
Belgium,1984,13113,GermanyCase,6.347517,146.64285,33.48085
Belgium,1985,13735,GermanyCase,4.8676758,140.55513,34.213501
Belgium,1986,14292,GermanyCase,1.295501,126.71104,33.229149
Belgium,1987,15013,GermanyCase,1.5544831,122.64662,32.101799
Belgium,1988,16209,GermanyCase,1.162051,129.20561,32.88089
Belgium,1989,17345,GermanyCase,3.1054499,138.38467,33.229431
Belgium,1990,18526,GermanyCase,3.4528229,134.00658,32.664299
Belgium,1991,19453,GermanyCase,3.2085519,130.8264,30.661619
Belgium,1992,20123,GermanyCase,2.429914,126.43597,30.110929
Belgium,1993,20308,GermanyCase,2.753963,120.23799,28.998671
Belgium,1994,21340,GermanyCase,2.377799,125.53788,28.923639
Belgium,1995,22248,GermanyCase,1.466814,129.36067,29.53443
Belgium,1996,22687,GermanyCase,2.058919,131.87495,29.14131
Belgium,1997,23416,GermanyCase,1.627459,141.31438,29.257811
Belgium,1998,24164,GermanyCase,0.95362258,149.6824,28.63953
Belgium,1999,24792,GermanyCase,1.119242,149.6824,27.95392
Belgium,2000,26631,GermanyCase,2.5462461,149.6824,28.08952
Belgium,2001,28001,GermanyCase,2.4712729,149.6824,27.25738
Belgium,2002,29330,GermanyCase,1.643454,149.6824,27.01092
Belgium,2003,30082,GermanyCase,1.5913121,149.6824,26.484779
Denmark,1960,2329,GermanyCase,3.4516289,65.782196,31.78034
Denmark,1961,2485,GermanyCase,3.4516289,61.540672,31.78034
Denmark,1962,2665,GermanyCase,7.37782,60.337379,31.78034
Denmark,1963,2700,GermanyCase,6.1050329,60.416042,31.78034
Denmark,1964,2980,GermanyCase,3.092783,61.678101,31.78034
Denmark,1965,3177,GermanyCase,5.4499998,61.388741,31.78034
Denmark,1966,3377,GermanyCase,7.06496,59.872742,31.78034
Denmark,1967,3580,GermanyCase,8.2078533,57.854729,31.78034
Denmark,1968,3892,GermanyCase,7.9536152,57.879894,31.78034
Denmark,1969,4352,GermanyCase,3.487931,58.468327,31.78034
Denmark,1970,4541,GermanyCase,6.5148368,60.321808,31.78034
Denmark,1971,4858,GermanyCase,5.8698769,58.494747,31.78034
Denmark,1972,5262,GermanyCase,6.5623479,54.942623,31.531469
Denmark,1973,5719,GermanyCase,9.3033886,60.465103,30.284731
Denmark,1974,6121,GermanyCase,15.2752,68.138985,29.58704
Denmark,1975,6565,GermanyCase,9.6056137,62.650646,29.250561
Denmark,1976,7371,GermanyCase,9.0,63.949295,28.24987
Denmark,1977,7901,GermanyCase,11.13914,62.842953,28.02203
Denmark,1978,8585,GermanyCase,10.00894,59.208858,27.56307
Denmark,1979,9566,GermanyCase,9.6110554,62.885948,26.88064
Denmark,1980,10362,GermanyCase,12.30532,68.160645,28.233141
Denmark,1981,11106,GermanyCase,11.79159,74.18737,26.577101
Denmark,1982,12115,GermanyCase,10.08994,74.134293,26.75725
Denmark,1983,12822,GermanyCase,6.9073091,72.488731,26.989759
Denmark,1984,13777,GermanyCase,6.3220792,73.978584,27.290581
Denmark,1985,14698,GermanyCase,4.652379,74.850471,27.62063
Denmark,1986,15608,GermanyCase,3.7212789,66.168907,28.24608
Denmark,1987,16024,GermanyCase,3.9850709,62.581482,27.91802
Denmark,1988,16766,GermanyCase,4.5501909,63.532341,27.08609
Denmark,1989,17418,GermanyCase,4.7840528,67.066689,27.020679
Denmark,1990,18237,GermanyCase,2.6527159,66.584679,26.544291
Denmark,1991,19070,GermanyCase,2.36796,68.532112,26.169559
Denmark,1992,19829,GermanyCase,2.1019809,66.430893,26.345341
Denmark,1993,20199,GermanyCase,1.250985,63.976089,25.190121
Denmark,1994,21691,GermanyCase,1.994357,65.612671,25.311541
Denmark,1995,22693,GermanyCase,2.0984361,66.717857,25.757509
Denmark,1996,23781,GermanyCase,2.1113601,66.073807,25.95113
Denmark,1997,24878,GermanyCase,2.195791,68.587067,26.045151
Denmark,1998,25669,GermanyCase,1.853178,68.587067,26.000641
Denmark,1999,27113,GermanyCase,2.4786849,68.587067,26.2223
Denmark,2000,28798,GermanyCase,2.9247789,68.587067,27.18491
Denmark,2001,29837,GermanyCase,2.3499999,68.587067,26.28203
Denmark,2002,30318,GermanyCase,2.4263151,68.587067,26.400669
Denmark,2003,30853,GermanyCase,2.09062,68.587067,26.40539
France,1960,1858,GermanyCase,2.414562,26.919622,38.649269
France,1961,1959,GermanyCase,2.414562,26.21155,38.649269
France,1962,2099,GermanyCase,5.2472501,24.89856,38.649269
France,1963,2205,GermanyCase,4.9396901,25.005909,38.649269
France,1964,2367,GermanyCase,3.2293379,25.622961,38.649269
France,1965,2526,GermanyCase,2.71474,25.749504,38.649269
France,1966,2728,GermanyCase,2.5707209,26.475941,38.649269
France,1967,2915,GermanyCase,2.8183191,26.188457,38.649269
France,1968,3163,GermanyCase,4.5521288,26.57132,38.649269
France,1969,3531,GermanyCase,6.0393262,28.73958,38.649269
France,1970,3857,GermanyCase,5.8454752,31.085831,38.649269
France,1971,4203,GermanyCase,5.3975139,31.760962,38.649269
France,1972,4535,GermanyCase,6.063004,32.391918,38.697899
France,1973,5008,GermanyCase,7.3805971,34.279339,37.94067
France,1974,5594,GermanyCase,13.64932,42.390965,37.567768
France,1975,6077,GermanyCase,11.68593,36.927505,37.66209
France,1976,6673,GermanyCase,9.625493,39.892372,37.490768
France,1977,7292,GermanyCase,9.4945564,40.849865,36.88102
France,1978,8031,GermanyCase,9.2505589,39.488529,36.230061
France,1979,8948,GermanyCase,10.64674,41.879051,35.840729
France,1980,9891,GermanyCase,13.53911,44.269318,36.0303
France,1981,10929,GermanyCase,13.33333,46.10194,35.172989
France,1982,11869,GermanyCase,11.97848,45.501305,34.09864
France,1983,12518,GermanyCase,9.459548,45.127838,33.51458
France,1984,13145,GermanyCase,7.6738029,47.646427,33.121159
France,1985,13746,GermanyCase,5.831099,47.159176,32.787128
France,1986,14308,GermanyCase,2.538527,41.344673,31.803949
France,1987,14940,GermanyCase,3.288898,41.144371,30.94018
France,1988,16040,GermanyCase,2.7008171,42.526455,30.74395
France,1989,17193,GermanyCase,3.498302,45.686443,30.22196
France,1990,18244,GermanyCase,3.3800571,45.130569,29.69998
France,1991,19021,GermanyCase,3.2169349,45.04747,29.520161
France,1992,19746,GermanyCase,2.3657651,44.026119,29.157129
France,1993,19920,GermanyCase,2.10601,41.841209,27.45125
France,1994,20695,GermanyCase,1.6608731,43.401379,27.18095
France,1995,21545,GermanyCase,1.778116,44.69141,27.2759
France,1996,22288,GermanyCase,2.0083621,45.604462,26.606609
France,1997,23370,GermanyCase,1.200322,49.360401,26.041229
France,1998,24412,GermanyCase,0.67259711,49.360401,25.945641
France,1999,25111,GermanyCase,0.5,49.360401,25.49264
France,2000,26690,GermanyCase,1.691542,49.360401,25.48119
France,2001,28043,GermanyCase,1.6634049,49.360401,25.501699
France,2002,28829,GermanyCase,1.9249279,49.360401,25.308121
France,2003,29210,GermanyCase,2.1010389,49.360401,24.47357
West Germany,1960,2284,GermanyCase,2.5157232,35.459682,44.987244
West Germany,1961,2388,GermanyCase,2.5157232,33.836784,44.987244
West Germany,1962,2527,GermanyCase,2.7607362,33.466377,44.987244
West Germany,1963,2610,GermanyCase,2.9850745,34.160629,44.987244
West Germany,1964,2806,GermanyCase,2.3188405,34.566139,44.987244
West Germany,1965,3005,GermanyCase,3.3994334,35.816799,44.987244
West Germany,1966,3168,GermanyCase,3.5616438,36.628227,44.987244
West Germany,1967,3241,GermanyCase,1.5873016,37.226662,44.987244
West Germany,1968,3571,GermanyCase,1.0416666,39.09016,44.987244
West Germany,1969,3998,GermanyCase,2.0618556,40.571236,44.987244
West Germany,1970,4367,GermanyCase,3.2828283,40.318378,38.217014
West Germany,1971,4686,GermanyCase,5.1344743,39.739914,48.001259
West Germany,1972,5055,GermanyCase,5.3488374,39.230003,46.946892
West Germany,1973,5553,GermanyCase,6.843267,40.75988,46.534359
West Germany,1974,6074,GermanyCase,6.818182,48.393688,45.70887
West Germany,1975,6603,GermanyCase,5.9961314,46.457829,43.37009
West Germany,1976,7367,GermanyCase,4.3795619,49.103081,43.613609
West Germany,1977,8090,GermanyCase,3.4965036,48.564785,43.166019
West Germany,1978,8928,GermanyCase,2.5337837,47.071793,42.96508
West Germany,1979,10067,GermanyCase,3.7891269,49.485752,43.08099
West Germany,1980,11083,GermanyCase,5.2380953,53.336185,36.04203
West Germany,1981,12115,GermanyCase,6.3348417,56.67342,35.423489
West Germany,1982,12761,GermanyCase,5.3900709,57.341839,34.778473
West Germany,1983,13519,GermanyCase,3.2301481,55.482639,35.085144
West Germany,1984,14481,GermanyCase,2.3468058,58.791813,34.51585
West Germany,1985,15291,GermanyCase,2.0382166,61.519432,34.851387
West Germany,1986,15998,GermanyCase,-0.2496879,55.117413,34.366795
West Germany,1987,16679,GermanyCase,0.12515645,52.914875,34.090187
West Germany,1988,17786,GermanyCase,1.125,53.910343,33.772335
West Germany,1989,18994,GermanyCase,2.8430161,57.664852,33.96273
West Germany,1990,20465,GermanyCase,2.7644231,58.3615,33.96273
West Germany,1991,21602,GermanyCase,3.7426901,58.3615,33.96273
West Germany,1992,22154,GermanyCase,4.0586247,58.3615,33.96273
West Germany,1993,21878,GermanyCase,3.6836402,58.3615,33.96273
West Germany,1994,22371,GermanyCase,2.8213167,58.3615,33.96273
West Germany,1995,23035,GermanyCase,1.6260163,58.3615,33.96273
West Germany,1996,23742,GermanyCase,1.3,58.3615,33.96273
West Germany,1997,24156,GermanyCase,1.7769003,58.3615,33.96273
West Germany,1998,24931,GermanyCase,0.87293887,58.3615,33.96273
West Germany,1999,25755,GermanyCase,0.67307693,58.3615,33.96273
West Germany,2000,26943,GermanyCase,0.67307693,58.3615,33.96273
West Germany,2001,27449,GermanyCase,0.67307693,58.3615,33.96273
West Germany,2002,28348,GermanyCase,0.67307693,58.3615,33.96273
West Germany,2003,28855,GermanyCase,0.67307693,58.3615,33.96273
Italy,1960,1620,GermanyCase,2.702703,26.573429,40.38538
Italy,1961,1763,GermanyCase,2.702703,26.883282,40.38538
Italy,1962,1900,GermanyCase,3.9473679,27.117237,40.38538
Italy,1963,2021,GermanyCase,7.5949368,27.785471,40.38538
Italy,1964,2093,GermanyCase,5.8823528,26.755199,40.38538
Italy,1965,2205,GermanyCase,4.4444451,27.677755,40.38538
Italy,1966,2400,GermanyCase,3.191489,29.030056,40.38538
Italy,1967,2624,GermanyCase,3.092783,29.300257,40.38538
Italy,1968,2910,GermanyCase,2.0,29.876673,40.38538
Italy,1969,3227,GermanyCase,1.960784,31.844769,40.38538
Italy,1970,3602,GermanyCase,4.807693,32.854187,40.38538
Italy,1971,3834,GermanyCase,5.5045872,33.224659,40.38538
Italy,1972,4101,GermanyCase,5.217391,34.73354,39.51487
Italy,1973,4594,GermanyCase,10.7438,36.741856,40.68504
Italy,1974,5240,GermanyCase,19.402981,44.558479,42.32259
Italy,1975,5601,GermanyCase,16.875,41.324772,41.31369
Italy,1976,6288,GermanyCase,16.577539,45.425701,42.21162
Italy,1977,6821,GermanyCase,17.43119,45.851334,41.67762
Italy,1978,7542,GermanyCase,12.10938,45.114742,41.045071
Italy,1979,8594,GermanyCase,14.63415,47.706306,40.675709
Italy,1980,9643,GermanyCase,21.2766,46.654396,40.379559
Italy,1981,10593,GermanyCase,17.794491,48.836246,39.038651
Italy,1982,11275,GermanyCase,16.38298,47.112198,38.13298
Italy,1983,11812,GermanyCase,14.62523,43.484116,36.95853
Italy,1984,12543,GermanyCase,10.84529,45.805889,36.528419
Italy,1985,13285,GermanyCase,9.2086334,46.108475,36.099941
Italy,1986,13896,GermanyCase,5.797101,38.941029,34.896999
Italy,1987,14688,GermanyCase,4.732254,38.368252,34.578098
Italy,1988,15784,GermanyCase,5.1129608,37.962685,34.441071
Italy,1989,16875,GermanyCase,6.2217188,40.167339,34.55434
Italy,1990,17946,GermanyCase,6.496273,40.0452,33.897999
Italy,1991,18845,GermanyCase,6.3000002,37.988586,32.910801
Italy,1992,19367,GermanyCase,5.0799618,39.345406,32.388691
Italy,1993,19778,GermanyCase,4.4762759,42.431316,31.35425
Italy,1994,20577,GermanyCase,4.027421,45.074287,31.301359
Italy,1995,21532,GermanyCase,5.2443709,51.247398,31.501289
Italy,1996,22235,GermanyCase,3.974524,48.172119,30.502131
Italy,1997,22810,GermanyCase,2.0431061,50.315632,30.06423
Italy,1998,23840,GermanyCase,1.96294,50.315632,29.91003
Italy,1999,24402,GermanyCase,1.655629,50.315632,29.311411
Italy,2000,25759,GermanyCase,2.5376871,50.315632,29.04274
Italy,2001,26586,GermanyCase,2.785166,50.315632,28.742929
Italy,2002,27320,GermanyCase,2.4653201,50.315632,28.28014
Italy,2003,27537,GermanyCase,2.672559,50.315632,27.804819
Netherlands,1960,2113,GermanyCase,1.732093,90.887093,37.20113
Netherlands,1961,2111,GermanyCase,1.732093,88.212914,37.20113
Netherlands,1962,2275,GermanyCase,2.2860379,86.703773,37.20113
Netherlands,1963,2360,GermanyCase,3.343184,87.91217,37.20113
Netherlands,1964,2566,GermanyCase,5.790884,86.539818,37.20113
Netherlands,1965,2739,GermanyCase,5.794898,83.929771,37.20113
Netherlands,1966,2874,GermanyCase,5.7968702,82.381424,37.20113
Netherlands,1967,3078,GermanyCase,3.486793,79.591179,37.20113
Netherlands,1968,3399,GermanyCase,3.6756129,79.654465,37.20113
Netherlands,1969,3951,GermanyCase,7.4282498,82.784653,37.20113
Netherlands,1970,4342,GermanyCase,3.6799369,88.73793,37.20113
Netherlands,1971,4705,GermanyCase,7.4775801,88.536026,37.20113
Netherlands,1972,4984,GermanyCase,7.79175,84.717201,36.960201
Netherlands,1973,5475,GermanyCase,8.0135193,88.922119,36.77002
Netherlands,1974,6165,GermanyCase,9.6093674,102.14023,36.934269
Netherlands,1975,6699,GermanyCase,10.21273,93.638176,35.57053
Netherlands,1976,7345,GermanyCase,9.0574865,95.766205,35.763512
Netherlands,1977,7959,GermanyCase,6.474103,91.196617,35.207821
Netherlands,1978,8676,GermanyCase,4.0800171,87.713753,34.131889
Netherlands,1979,9504,GermanyCase,4.210454,96.286804,34.084469
Netherlands,1980,10458,GermanyCase,6.7333202,102.65746,34.517979
Netherlands,1981,11304,GermanyCase,6.748466,109.61195,34.746471
Netherlands,1982,11784,GermanyCase,5.8620691,107.3393,34.068932
Netherlands,1983,12419,GermanyCase,2.823019,106.94978,33.90657
Netherlands,1984,13234,GermanyCase,3.273495,114.40473,34.551781
Netherlands,1985,13938,GermanyCase,2.2239261,116.79983,34.86816
Netherlands,1986,14613,GermanyCase,0.100025,97.608826,32.419331
Netherlands,1987,15197,GermanyCase,-0.70780247,96.81971,30.761841
Netherlands,1988,16082,GermanyCase,0.7463938,101.08154,30.96866
Netherlands,1989,17387,GermanyCase,1.0821609,106.49139,30.665979
Netherlands,1990,18665,GermanyCase,3.2854691,103.68212,30.71949
Netherlands,1991,19626,GermanyCase,3.133333,103.30096,30.41988
Netherlands,1992,20224,GermanyCase,3.1835811,99.637871,29.345671
Netherlands,1993,20679,GermanyCase,2.584182,94.706429,28.654131
Netherlands,1994,21588,GermanyCase,2.801527,95.985481,28.54458
Netherlands,1995,22585,GermanyCase,2.0952821,99.495033,28.746229
Netherlands,1996,23531,GermanyCase,2.0166669,101.01143,28.43318
Netherlands,1997,24692,GermanyCase,2.1565101,104.89993,27.830151
Netherlands,1998,25811,GermanyCase,1.983048,104.89993,27.106001
Netherlands,1999,26654,GermanyCase,2.211071,104.89993,26.31304
Netherlands,2000,28467,GermanyCase,2.5237801,104.89993,26.798981
Netherlands,2001,30359,GermanyCase,4.5342312,104.89993,26.62816
Netherlands,2002,31284,GermanyCase,3.467068,104.89993,25.827681
Netherlands,2003,31792,GermanyCase,2.11464,104.89993,25.827681
Norway,1960,1713,GermanyCase,2.451108,73.680962,31.944679
Norway,1961,1823,GermanyCase,2.451108,72.139977,31.944679
Norway,1962,1905,GermanyCase,5.2685161,69.344788,31.944679
Norway,1963,1991,GermanyCase,2.5870409,70.439796,31.944679
Norway,1964,2112,GermanyCase,5.679944,71.781082,31.944679
Norway,1965,2268,GermanyCase,4.2595901,71.817253,31.944679
Norway,1966,2417,GermanyCase,3.2513371,72.533798,31.944679
Norway,1967,2620,GermanyCase,4.4333949,74.773056,31.944679
Norway,1968,2784,GermanyCase,3.471534,73.59362,31.944679
Norway,1969,3035,GermanyCase,3.0674851,72.030357,31.944679
Norway,1970,3213,GermanyCase,10.56548,74.139931,31.944679
Norway,1971,3523,GermanyCase,6.2584119,73.002907,31.944679
Norway,1972,3814,GermanyCase,7.219759,70.428383,32.230431
Norway,1973,4138,GermanyCase,7.44241,76.504845,32.272209
Norway,1974,4728,GermanyCase,9.4145136,83.27903,33.086529
Norway,1975,5458,GermanyCase,11.70707,78.767204,34.624119
Norway,1976,6116,GermanyCase,9.1757565,79.932335,34.209702
Norway,1977,6742,GermanyCase,9.0431557,78.699829,34.076401
Norway,1978,7412,GermanyCase,8.1515064,72.255005,35.433521
Norway,1979,8354,GermanyCase,4.7598252,77.273743,38.279739
Norway,1980,9557,GermanyCase,10.89621,80.330162,40.388729
Norway,1981,10548,GermanyCase,13.63705,79.648895,40.68092
Norway,1982,11205,GermanyCase,11.37206,78.188873,40.848209
Norway,1983,12022,GermanyCase,8.4110479,76.31546,42.04797
Norway,1984,13220,GermanyCase,6.279108,77.480171,43.46854
Norway,1985,14354,GermanyCase,5.6658239,78.744705,42.852852
Norway,1986,15184,GermanyCase,7.1867681,72.853569,36.27047
Norway,1987,15823,GermanyCase,8.7259321,67.695114,35.806919
Norway,1988,16299,GermanyCase,6.6984839,67.400887,34.0042
Norway,1989,17043,GermanyCase,4.5554419,73.293633,35.525398
