year,lowbrth,infmort,afdcprt,popul,pcinc,physic,afdcprc,d90,lpcinc,cafdcprc,clpcinc,lphysic,clphysic,clowbrth,cinfmort,afdcpay,afdcinc,lafdcpay,clafdcpy,cafdcinc,stateabb,state,beds,bedspc,lbedspc,clbedspc,povrate,cpovrate,afdcpsq,cafdcpsq,physicpc,lphypc,clphypc,lpopul,clpopul
1987,6.8000002,9.6999998,155,3723,11996,161,4.1633091,0,9.3923283,,,5.0814042,,,,194,1.6172057,5.267858,,,KY,kentucky,19.4,.0052108513,-5.2570119,,17.299999,,17.333143,,.043244693,-3.1408808,,8.2222853,
1990,7.0999999,8.5,204,3685,14984,168,5.5359564,1,9.6147385,1.3726473,.2224102,5.1239638,.042559624,.29999971,-1.1999998,224,1.4949279,5.4116459,.14378786,-.12227786,KY,kentucky,19,.0051560379,-5.2675867,-.010574818,17.299999,0,30.646812,13.313669,.045590229,-3.0880618,.052819014,8.2120256,-.010259628
1987,8.6999998,11.8,271,4448,11506,184,6.0926261,0,9.3506241,,,5.2149358,,,,167,1.4514166,5.1179938,,,LA,louisiana,26.6,.005980216,-5.1192985,,25.1,,37.120094,,.041366905,-3.1852741,,8.4002094,
1990,9.1999998,11.1,279,4220,14300,188,6.6113744,1,9.5680151,.51874828,.21739101,5.2364421,.02150631,.5,-.69999981,167,1.1678321,5.1179938,0,-.28358448,LA,louisiana,23.9,.0056635072,-5.1737118,-.054413319,23.6,-1.5,43.71027,6.5901756,.044549763,-3.1111484,.074125767,8.3475904,-.05261898
1987,5.4000001,8.3000002,52,1186,13996,173,4.3844857,0,9.5465269,,,5.1532917,,,,360,2.5721636,5.8861041,,,ME,maine,6.0999999,.0051433388,-5.2700529,,11.7,,19.223715,,.14586847,-1.92505,,7.0783415,
1990,5.0999999,6.1999998,62,1228,17125,178,5.0488601,1,9.7482948,.66437435,.20176792,5.1817837,.028491974,-.30000019,-2.1000004,422,2.4642336,6.0450053,.15890121,-.10792994,ME,maine,5.5999999,.0045602606,-5.3903756,-.1203227,13.1,1.4000006,25.490988,6.2672729,.14495113,-1.9313586,-.0063085556,7.113142,.034800529
1987,7.8000002,11.5,176,4536,18217,325,3.8800704,0,9.8101101,,,5.7838254,,,,318,1.7456223,5.7620516,,,MD,maryland,21.299999,.0046957671,-5.361094,,9.1999998,,15.054947,,.07164903,-2.6359756,,8.4198008,
1990,7.8000002,9.5,198,4781,21915,334,4.1413932,1,9.9949265,.26132274,.18481636,5.811141,.027315617,0,-2,370,1.6883413,5.9135032,.15145159,-.057281017,MD,maryland,20.4,.0042668898,-5.4568701,-.095776081,9.8999996,.69999981,17.151138,2.0961914,.069859862,-2.6612639,-.025288343,8.4724054,.052604675
1987,5.6999998,7.1999998,234,5856,19131,322,3.9959016,0,9.8590651,,,5.7745514,,,,500,2.6135592,6.2146082,,,MA,mass,37.400002,.0063866121,-5.0535512,,8.1999998,,15.96723,,.054986339,-2.9006705,,8.6752224,
1990,5.9000001,7,282,6016,22558,337,4.6875,1,10.023845,.69159842,.16477966,5.8200831,.04553175,.20000029,-.19999981,556,2.4647574,6.3207684,.10616016,-.1488018,MA,mass,33.5,.0055684838,-5.1906323,-.13708115,10.7,2.5,21.972656,6.0054264,.056017287,-2.8820949,.018575668,8.702178,.026955605
1987,7.1999998,10.7,642,9205,15558,180,6.9744706,0,9.6523304,,,5.1929569,,,,473,3.0402365,6.1590953,,,MI,michigan,43.099998,.0046822377,-5.3639793,,12.2,,48.643242,,.019554591,-3.9345453,,9.1275024,
1990,7.5999999,10.7,684,9295,18297,185,7.3587952,1,9.8144922,.38432455,.16216183,5.220356,.027399063,.4000001,0,464,2.5359349,6.1398845,-.019210815,-.50430155,MI,michigan,40.700001,.0043786983,-5.4310036,-.067024231,14.3,2.1000004,54.151867,5.508625,.019903174,-3.9168761,.017669201,9.1372318,.0097293854
1987,5,8.6999998,161,4244,15789,212,3.793591,0,9.6670685,,,5.3565865,,,,509,3.2237635,6.2324481,,,MN,minnes,25.9,.0061027333,-5.0990186,,11.3,,14.391333,,.049952876,-2.9966753,,8.3532619,
1990,5.0999999,7.3000002,177,4375,18690,220,4.0457144,1,9.8357439,.25212336,.16867542,5.3936276,.037041187,.099999905,-1.3999996,512,2.7394328,6.2383246,.0058765411,-.48433065,MN,minnes,24.6,.0056228573,-5.1809154,-.081896782,12,.69999981,16.367805,1.9764729,.050285716,-2.9900343,.0066409111,8.3836622,.030400276
1987,9,13.7,176,2624,10301,125,6.7073169,0,9.239996,,,4.8283138,,,,117,1.135812,4.7621741,,,MS,mississ,17.4,.0066310973,-5.015985,,25,,44.988098,,.047637194,-3.0441415,,7.8724551,
1990,9.6000004,12.1,176,2573,12700,133,6.8402643,1,9.449357,.13294744,.20936108,4.8903489,.062035084,.60000038,-1.5999994,120,.94488192,4.7874918,.025317669,-.19093013,MS,mississ,17.200001,.0066848039,-5.0079184,.0080666542,25.700001,.70000076,46.789215,1.8011169,.051690634,-2.9624786,.081662893,7.852828,-.019627094
1987,7,10.2,200,5107,14630,190,3.9161935,0,9.5908298,,,5.2470241,,,,264,1.8045113,5.5759492,,,MO,missouri,30.799999,.0060309377,-5.1108527,,14,,15.336572,,.037203837,-3.2913435,,8.5383673,
1990,7.0999999,9.3999996,218,5117,17347,196,4.2603087,1,9.7611752,.34411526,.17034531,5.2781148,.031090736,.099999905,-.80000019,274,1.5795238,5.6131282,.037178993,-.22498751,MO,missouri,29.6,.0057846396,-5.1525493,-.041696548,13.4,-.60000038,18.15023,2.8136587,.038303692,-3.2622089,.029134512,8.5403233,.001955986
1987,5.5,10,29,909,12304,150,3.1903191,0,9.4176798,,,5.0106354,,,,356,2.893368,5.8749309,,,MT,montana,4.9000001,.0053905393,-5.2231097,,18,,10.178136,,.1650165,-1.8017098,,6.812345,
1990,6.1999998,9,29,799,14663,158,3.6295369,1,9.5930824,.43921781,.17540264,5.0625949,.051959515,.69999981,-1,344,2.346041,5.8406415,-.03428936,-.54732704,MT,montana,4.9000001,.006132666,-5.0941257,.12898397,16.299999,-1.7000008,13.173538,2.9954023,.19774719,-1.6207659,.18094385,6.6833611,-.12898397
1987,5.5,8.6000004,43,1594,14100,168,2.6976161,0,9.5539303,,,5.1239638,,,,316,2.2411346,5.7557421,,,NE,nebraska,11.1,.0069636139,-4.9670568,,11.9,,7.2771325,,.10539524,-2.2500379,,7.374002,
1990,5.3000002,8.3000002,44,1578,17276,172,2.7883396,1,9.7570734,.090723515,.20314312,5.1474943,.023530483,-.19999981,-.30000019,336,1.9448947,5.817111,.061368942,-.29623997,NE,nebraska,10.4,.0065906206,-5.0221076,-.05505085,10.3,-1.5999994,7.774838,.49770546,.10899873,-2.216419,.033618927,7.3639135,-.010088444
1987,6.9000001,9.6000004,17,1006,16359,158,1.6898608,0,9.7025337,,,5.0625949,,,,247,1.5098722,5.5093884,,,NV,nevada,4.0999999,.0040755467,-5.5027504,,10.4,,2.8556297,,.15705766,-1.8511423,,6.9137373,
1990,7.1999998,8.3999996,25,1202,19680,159,2.0798669,1,9.8873577,.39000607,.18482399,5.0689044,.0063095093,.29999971,-1.2000008,278,1.4126016,5.6276212,.11823273,-.097270608,NV,nevada,4.1999998,.0034941763,-5.6566577,-.1539073,9.8000002,-.59999943,4.3258462,1.4702165,.13227953,-2.0228379,-.17169559,7.091742,.17800474
1987,4.9000001,7.8000002,11,1056,18083,186,1.0416666,0,9.8027277,,,5.2257466,,,,366,2.0240004,5.9026332,,,NH,newhampshire,4.8000002,.0045454549,-5.3936276,,4.8000002,,1.0850694,,.17613636,-1.7364968,,6.9622436,
1990,4.9000001,7.0999999,21,1109,21051,200,1.8935978,1,9.9547033,.85193121,.15197563,5.2983174,.072570801,0,-.70000029,431,2.0474086,6.0661082,.16347504,.023408175,NH,newhampshire,4.9000001,.004418395,-5.421979,-.028351307,6.3000002,1.5,3.5857127,2.5006433,.18034264,-1.7128967,.023600101,7.0112138,.048970222
1987,7,9.3999996,320,7674,20277,234,4.1699243,0,9.9172421,,,5.4553213,,,,350,1.7260936,5.857933,,,NJ,newjers,39.400002,.0051342198,-5.2718272,,8.3000002,,17.388268,,.030492572,-3.490272,,8.9455929,
1990,7,9,323,7730,24977,246,4.1785254,1,10.12571,.0086011887,.20846844,5.5053315,.050010204,0,-.39999962,352,1.4092965,5.8636312,.005698204,-.31679714,NJ,newjers,38.200001,.0049417852,-5.3100286,-.038201332,9.1999998,.89999962,17.460075,.071807861,.031824064,-3.4475327,.042739391,8.9528637,.007270813
1987,7.0999999,8.1000004,60,1496,11889,173,4.010695,0,9.3833685,,,5.1532917,,,,235,1.9766171,5.4595857,,,NM,newmexico,6.6999998,.0044786097,-5.4084425,,19.4,,16.085674,,.11564171,-2.1572585,,7.3105502,
1990,7.4000001,9,67,1515,14124,183,4.4224424,1,9.5556307,.41174746,.17226219,5.209486,.056194305,.30000019,.89999962,273,1.9328802,5.6094718,.14988613,-.043736935,NM,newmexico,6.5999999,.0043564355,-5.436101,-.027658463,20.9,1.5,19.557997,3.4723225,.12079208,-2.1136847,.043573856,7.3231707,.012620449
1987,7.5999999,10.7,1019,17835,17943,307,5.7134848,0,9.7949553,,,5.7268476,,,,495,2.7587359,6.2045579,,,NY,newyork,110,.0061676479,-5.0884376,,14.3,,32.643909,,.017213345,-4.0620704,,9.7889185,
1990,7.5999999,9.6000004,1031,17990,22068,315,5.7309618,1,10.001884,.017477036,.20692825,5.7525725,.025724888,0,-1.0999994,556,2.5194852,6.3207684,.11621046,-.23925066,NY,newyork,104.3,.0057976656,-5.1503,-.061862469,14.3,0,32.843922,.20001221,.017509727,-4.0449986,.017071724,9.7975712,.0086526871
1987,7.9000001,11.9,171,6409,13353,179,2.668123,0,9.4994965,,,5.187386,,,,239,1.78986,5.4764633,,,NC,northcaro,29.700001,.0046341084,-5.3743114,,13.8,,7.1188803,,.027929474,-3.5780728,,8.7654581,
1990,8,10.6,255,6629,16383,190,3.846734,1,9.7039995,1.178611,.20450306,5.2470241,.059638023,.099999905,-1.2999992,237,1.4466215,5.46806,-.0084033012,-.34323847,NC,northcaro,30.1,.0045406548,-5.3946838,-.020372391,13,-.80000019,14.797363,7.678483,.02866194,-3.5521851,.025887728,8.7992096,.033751488
1987,4.9000001,8.6999998,15,671,12825,167,2.2354693,0,9.4591513,,,5.1179938,,,,345,2.6900585,5.8435445,,,ND,northdak,5.9000001,.0087928465,-4.7338166,,11.4,,4.997323,,.24888226,-1.3907753,,6.508769,
1990,5.5,8,16,639,15158,170,2.5039124,1,9.6262836,.26844311,.16713238,5.1357985,.017804623,.5999999,-.69999981,359,2.3683863,5.8833222,.039777756,-.3216722,ND,northdak,5.1999998,.008137715,-4.8112459,-.077429295,13.7,2.3000002,6.2695775,1.2722545,.26604068,-1.3241061,.066669226,6.4599047,-.048864365
1987,6.5999999,9.3000002,648,10816,14575,191,5.9911242,0,9.5870628,,,5.2522736,,,,299,2.0514579,5.7004437,,,OH,ohio,56.5,.0052237427,-5.2545409,,12.7,,35.89357,,.017659023,-4.0365086,,9.2887821,
1990,7.0999999,9.8000002,657,10847,17422,196,6.0569744,1,9.7654886,.065850258,.17842579,5.2781148,.025841236,.5,.5,328,1.8826771,5.7930136,.092569828,-.1687808,OH,ohio,52.099998,.0048031714,-5.338479,-.083938122,11.5,-1.1999998,36.686939,.79336929,.018069513,-4.0135293,.022979259,9.2916441,.0028619766
1987,6.6999998,9.6000004,101,3259,12607,145,3.0991101,0,9.4420071,,,4.9767337,,,,277,2.197192,5.6240177,,,OK,oklahoma,16.200001,.00497085,-5.3041644,,17,,9.6044836,,.044492174,-3.112442,,8.0891752,
1990,6.5999999,9.1999998,129,3146,15154,147,4.1004448,1,9.6260195,1.0013347,.18401241,4.9904327,.013699055,-.099999905,-.40000057,279,1.8410981,5.6312118,.0071940422,-.35609388,OK,oklahoma,14.9,.004736173,-5.3525257,-.048361301,15.6,-1.3999996,16.813648,7.2091646,.046726,-3.0634546,.048987389,8.0538874,-.035287857
1987,5.4000001,10.4,81,2723,13906,196,2.9746604,0,9.5400753,,,5.2781148,,,,334,2.4018409,5.811141,,,OR,oregon,10.3,.0037825927,-5.5773454,,14.2,,8.8486042,,.071979433,-2.6313748,,7.9094896,
1990,5,8.3000002,99,2842,17038,205,3.4834623,1,9.7432013,.50880194,.20312595,5.32301,.044895172,-.4000001,-2.0999994,374,2.1950934,5.9242558,.11311483,-.20674753,OR,oregon,10.4,.0036593946,-5.6104574,-.033112049,9.1999998,-5,12.13451,3.2859058,.072132304,-2.6292534,.0021214485,7.9522634,.042773724
1987,6.9000001,10.4,539,11942,15198,227,4.5134816,0,9.6289186,,,5.4249501,,,,335,2.2042375,5.8141303,,,PA,pennsyl,70.699997,.0059202812,-5.1293712,,10.6,,20.371517,,.019008541,-3.9628668,,9.3878164,
1990,7.0999999,9.6000004,549,11882,18725,235,4.6204343,1,9.837615,.10695267,.20869637,5.4595857,.034635544,.19999981,-.79999924,382,2.0400534,5.9454207,.13129044,-.16418409,PA,pennsyl,68.5,.0057650227,-5.1559463,-.026575089,11,.39999962,21.348413,.97689629,.019777816,-3.9231944,.039672375,9.3827801,-.0050363541
1987,6,8.3999996,42,986,15683,244,4.259635,0,9.6603327,,,5.4971681,,,,433,2.7609513,6.0707378,,,RI,rhode,5.0999999,.0051724138,-5.2644157,,8.1000004,,18.144489,,.24746451,-1.3964881,,6.8936563,
1990,6.1999998,8.1000004,52,1003,18771,254,5.1844468,1,9.8400688,.92481184,.17973614,5.5373344,.040166378,.19999981,-.29999924,499,2.658356,6.212606,.14186811,-.10259533,RI,rhode,4.4000001,.0043868395,-5.4291463,-.16473055,7.5,-.60000038,26.878489,8.7339993,.25324029,-1.3734165,.023071527,6.9107509,.017094612
1987,8.6000004,12.7,122,3426,12078,156,3.5610042,0,9.3991413,,,5.0498562,,,,187,1.5482696,5.2311087,,,SC,southcaro,15.1,.0044074724,-5.4244537,,15.6,,12.680751,,.045534149,-3.0892928,,8.1391487,
1990,8.6999998,11.7,118,3487,15043,161,3.3839977,1,9.6186676,-.17700648,.21952629,5.0814042,.031548023,.099999428,-1,203,1.3494649,5.3132062,.08209753,-.19880474,SC,southcaro,14.6,.0041869804,-5.4757752,-.051321507,16.200001,.60000038,11.45144,-1.229311,.046171494,-3.0753927,.013900042,8.1567974,.017648697
1987,5.1999998,9.8999996,18,709,12414,138,2.5387871,0,9.4265804,,,4.9272537,,,,268,2.1588528,5.5909872,,,SD,southdak,5.6999998,.0080394922,-4.8233895,,15.2,,6.4454403,,.19464034,-1.6366018,,6.5638556,
1990,5.0999999,10.1,19,696,15566,140,2.7298851,1,9.6528444,.19109797,.226264,4.9416423,.014388561,-.099999905,.20000076,272,1.7473981,5.6058021,.014814854,-.41145468,SD,southdak,5.4000001,.0077586207,-4.8589506,-.035561085,13.3,-1.8999996,7.4522729,1.0068326,.20114942,-1.6037073,.032894492,6.5453496,-.01850605
1987,8.1000004,11.7,181,4855,12977,187,3.7281153,0,9.4709339,,,5.2311087,,,,149,1.1481853,5.0039463,,,TN,tennessee,30.200001,.0062203915,-5.0799222,,16.9,,13.898844,,.038516995,-3.2566557,,8.4877644,
1990,8.1999998,10.3,230,4877,15869,196,4.7160139,1,9.672123,.98789859,.20118904,5.2781148,.04700613,.099999428,-1.3999996,186,1.1720965,5.2257466,.22180033,.023911238,TN,tennessee,29.6,.0060693049,-5.1045113,-.024589062,16.9,0,22.240788,8.3419437,.04018864,-3.2141709,.04248476,8.4922857,.0045213699
1987,6.9000001,9.1000004,500,16781,13840,169,2.9795601,0,9.5353184,,,5.1298985,,,,169,1.2210983,5.1298985,,,TX,texas,80.900002,.0048209284,-5.3347888,,17.6,,8.877779,,.010070913,-4.598104,,9.7280025,
1990,6.9000001,8.1000004,673,16987,16600,175,3.9618533,1,9.7171583,.98229313,.18183994,5.1647859,.034887314,0,-1,165,.99397588,5.1059456,-.023952961,-.22712243,TX,texas,78.900002,.0046447283,-5.3720226,-.037233829,15.9,-1.7000008,15.696281,6.8185024,.010301996,-4.5754175,.022686481,9.7402039,.012201309
1987,5.6999998,8.8000002,44,1680,11530,177,2.6190476,0,9.3527079,,,5.1761498,,,,344,2.9835212,5.8406415,,,UT,utah,5.9000001,.0035119047,-5.6515965,,10.2,,6.8594108,,.10535714,-2.2503994,,7.426549,
1990,5.6999998,7.5,47,1723,14036,185,2.7278004,1,9.5493803,.10875273,.19667244,5.220356,.044206142,0,-1.3000002,347,2.4722142,5.8493247,.0086832047,-.511307,UT,utah,5.5999999,.0032501451,-5.7290554,-.077458858,8.1999998,-2,7.4408951,.58148432,.10737087,-2.2314663,.018933058,7.4518223,.025273323
1987,5.3000002,8.5,20,547,14267,244,3.6563072,0,9.5657043,,,5.4971681,,,,454,3.1821687,6.1180973,,,VT,vermont,2.5,.004570384,-5.3881578,,9.3000002,,13.368583,,.44606948,-.80728054,,6.3044486,
1990,5.3000002,6.4000001,25,563,17630,253,4.4404974,1,9.7773571,.78419018,.21165276,5.5333896,.036221504,0,-2.0999999,527,2.989223,6.2672005,.14910316,-.19294572,VT,vermont,2.3,.0040852576,-5.5003705,-.11221266,10.9,1.5999994,19.718018,6.3494349,.44937834,-.7998901,.0073904395,6.3332796,.028831005
1987,6.9000001,10.2,145,5914,16539,204,2.4518092,0,9.7134762,,,5.31812,,,,255,1.5418103,5.5412636,,,VA,virginia,30.200001,.0051065269,-5.277236,,9.8999996,,6.0113683,,.034494419,-3.3669577,,8.6850777,
1990,7.1999998,10.2,158,6187,19679,213,2.5537417,1,9.8873072,.10193253,.17383099,5.3612924,.043172359,.29999971,0,265,1.3466132,5.57973,.038466454,-.19519711,VA,virginia,29.200001,.0047195735,-5.3560367,-.078800678,11.1,1.2000008,6.5215964,.51022816,.034427024,-3.3689134,-.0019557476,8.7302055,.045127869
1987,5.3000002,9.6999998,208,4542,15634,206,4.5794802,0,9.6572037,,,5.3278761,,,,441,2.8207753,6.089045,,,WA,washington,16.5,.0036327608,-5.6177626,,10,,20.971638,,.045354471,-3.0932465,,8.4211226,
